time,meter,/500m,s/m,split_in_s,cutoff_minute,workout_date,workout_type
6:00.0,1242,2:24.9,21,144.9,6,2022-07-18 00:00:00+01:00,A
12:00.0,1250,2:24.0,21,144.0,12,2022-07-18 00:00:00+01:00,A
18:00.0,1239,2:25.2,21,145.2,18,2022-07-18 00:00:00+01:00,A
24:00.0,1221,2:27.4,21,147.4,24,2022-07-18 00:00:00+01:00,A
30:00.0,1262,2:22.6,21,142.6,30,2022-07-18 00:00:00+01:00,A
6:00.0,1206,2:29.2,20,149.2,6,2022-10-17 00:00:00+01:00,A
12:00.0,1207,2:29.1,20,149.1,12,2022-10-17 00:00:00+01:00,A
18:00.0,1210,2:28.7,20,148.7,18,2022-10-17 00:00:00+01:00,A
24:00.0,1203,2:29.6,20,149.6,24,2022-10-17 00:00:00+01:00,A
30:00.0,1234,2:25.8,20,145.8,30,2022-10-17 00:00:00+01:00,A
6:00.0,1225,2:26.9,20,146.9,6,2023-01-02 00:00:00+00:00,A
12:00.0,1222,2:27.2,20,147.2,12,2023-01-02 00:00:00+00:00,A
18:00.0,1206,2:29.2,20,149.2,18,2023-01-02 00:00:00+00:00,A
24:00.0,1223,2:27.1,20,147.1,24,2023-01-02 00:00:00+00:00,A
30:00.0,1245,2:24.5,20,144.5,30,2023-01-02 00:00:00+00:00,A
6:00.0,1199,2:30.1,20,150.1,6,2023-01-17 00:00:00+00:00,A
12:00.0,1189,2:31.3,20,151.3,12,2023-01-17 00:00:00+00:00,A
18:00.0,1170,2:33.8,20,153.8,18,2023-01-17 00:00:00+00:00,A
24:00.0,1191,2:31.1,21,151.1,24,2023-01-17 00:00:00+00:00,A
30:00.0,1217,2:27.9,20,147.9,30,2023-01-17 00:00:00+00:00,A
6:00.0,1219,2:27.6,20,147.6,6,2023-03-01 00:00:00+00:00,A
12:00.0,1232,2:26.1,20,146.1,12,2023-03-01 00:00:00+00:00,A
18:00.0,1245,2:24.5,20,144.5,18,2023-03-01 00:00:00+00:00,A
24:00.0,1249,2:24.1,20,144.1,24,2023-03-01 00:00:00+00:00,A
30:00.0,1252,2:23.7,20,143.7,30,2023-03-01 00:00:00+00:00,A
6:00.0,1209,2:28.8,20,148.8,6,2023-03-15 00:00:00+00:00,A
12:00.0,1218,2:27.7,20,147.7,12,2023-03-15 00:00:00+00:00,A
18:00.0,1227,2:26.6,20,146.6,18,2023-03-15 00:00:00+00:00,A
24:00.0,1236,2:25.6,20,145.6,24,2023-03-15 00:00:00+00:00,A
30:00.0,1252,2:23.7,20,143.7,30,2023-03-15 00:00:00+00:00,A
